Descrição;Média Mensal
"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças";1
Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação;1
Comércio varejista de outros produtos não especificados anteriormente;1
Cartórios;1
Serviços combinados de escritório e apoio administrativo;1
Fabricação de artefatos de borracha não especificados anteriormente;1
Limpeza em prédios e em domicílios;2
Restaurantes e similares;1
Fabricação de papel;1
Atividades de contabilidade;1
Serviços combinados para apoio a edifícios, exceto condomínios prediais;4
Comércio varejista de madeira e artefatos;5
Comércio a varejo de automóveis, camionetas e utilitários novos;1
Comércio varejista de combustíveis para veículos automotores;1.111111111
Comércio varejista de combustíveis para veículos automotores;1
Comércio por atacado de caminhões novos e usados;1.5
Incorporação de empreendimentos imobiliários;1
Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias;2.739130435
Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários;1
Condomínios prediais;3.5
Comércio atacadista de resíduos e sucatas metálicos;8
Comércio atacadista de material elétrico;14
Comércio a varejo de automóveis, camionetas e utilitários novos;1
Comércio a varejo de automóveis, camionetas e utilitários novos;1
Lanchonetes, casas de chá, de sucos e similares;1
Atividades de teleatendimento;1
Atividades de teleatendimento;1
Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências;1.666666667
Promoção de vendas;1.25
Instalação de portas, janelas, tetos, divisórias e armários embutidos de qualquer material;2
Comércio varejista de combustíveis para veículos automotores;1
Atividades de monitoramento de sistemas de segurança eletrônico;1.375
Fabricação de tecidos de malha;1
Locação de mão-de-obra temporária;1
Comércio atacadista de cerveja, chope e refrigerante;1
Instalação e manutenção elétrica;2.5
Instalação e manutenção elétrica;1
Instalação e manutenção elétrica;3
Instalação e manutenção elétrica;1
Promoção de vendas;1.75
Fabricação de óleos vegetais refinados, exceto óleo de milho;1.5
Obras de terraplenagem;1
Condomínios prediais;2
Fabricação de outros produtos alimentícios não especificados anteriormente;1.181818182
Fabricação de produtos derivados do cacau e de chocolates;1.25
Fabricação de outros produtos alimentícios não especificados anteriormente;1
Fabricação de outros produtos alimentícios não especificados anteriormente;1.846153846
Fabricação de outros produtos alimentícios não especificados anteriormente;1
Fabricação de outros produtos alimentícios não especificados anteriormente;1
Fabricação de produtos derivados do cacau e de chocolates;1
"Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças";2
Formação de condutores;1
Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios;1
Atividades de cobranças e informações cadastrais;1.5
Preparação do leite;1.222222222
Locação de automóveis sem condutor;1
Formação de condutores;3.5
Administração pública em geral;1
Construção de edifícios;1
Comércio varejista de artigos do vestuário e acessórios;2
Outros alojamentos não especificados anteriormente;4
Fabricação de outros brinquedos e jogos recreativos não especificados anteriormente;1.333333333
Restaurantes e similares;1
Serviços de engenharia;1
Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes;1.5
Condomínios prediais;1
Produção de artefatos estampados de metal;1.625
Transporte rodoviário de produtos perigosos;1
Comércio varejista especializado de equipamentos e suprimentos de informática;1
Seleção e agenciamento de mão-de-obra;2
Comércio varejista de combustíveis para veículos automotores;1
Comércio varejista de materiais de construção em geral;2
Serviços advocatícios;1.25
Comércio atacadista de materiais de construção em geral;10
Comércio a varejo de automóveis, camionetas e utilitários novos;1.5625
Comércio a varejo de automóveis, camionetas e utilitários novos;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Comércio a varejo de automóveis, camionetas e utilitários novos;1
Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário;1
Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador;1
Parques de diversão e parques temáticos;10
Comércio atacadista de produtos da extração mineral, exceto combustíveis;1
Fabricação de alimentos para animais;1
Educação infantil - creche;14.66666667
Fabricação de obras de caldeiraria pesada;1
Fabricação de equipamentos e acessórios para segurança pessoal e profissional;2
Comércio a varejo de motocicletas e motonetas novas;1.5
Comércio a varejo de motocicletas e motonetas novas;1.5
Serviços combinados de escritório e apoio administrativo;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1.090909091
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1.75
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1.5
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1.5
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;5.473684211
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1.5
Limpeza em prédios e em domicílios;1
Condomínios prediais;1
Envasamento e empacotamento sob contrato;1
Atividades de apoio à gestão de saúde;2
Comércio varejista de suvenires, bijuterias e artesanatos;1
Comércio varejista de suvenires, bijuterias e artesanatos;1
Comércio varejista de suvenires, bijuterias e artesanatos;1.25
Seguridade social obrigatória;1.25
Hotéis;1
Comércio a varejo de automóveis, camionetas e utilitários novos;1
Comércio a varejo de automóveis, camionetas e utilitários novos;1
Montagem de estruturas metálicas;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;3
Locação de mão-de-obra temporária;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.;1
Comércio a varejo de peças e acessórios novos para veículos automotores;2
Comércio varejista de calçados;7.869565217
Comércio varejista de calçados;2.25
Comércio varejista de artigos do vestuário e acessórios;1
Comércio varejista de combustíveis para veículos automotores;1
Comércio varejista de calçados;2
Serviços de engenharia;2.8
Construção de edifícios;6.5
Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;1
Limpeza em prédios e em domicílios;1.666666667
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1.6
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;2.0625
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Fabricação de azulejos e pisos;1
Atividades de organizações religiosas ou filosóficas;1
Serviços de alinhamento e balanceamento de veículos automotores;4.941176471
Educação superior - graduação;1
Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador;1
Holdings de instituições não-financeiras;1.75
Apart-hotéis;1
Fornecimento e gestão de recursos humanos para terceiros;2
Fabricação de outros produtos de minerais não-metálicos não especificados anteriormente;1
Hotéis;1
Fabricação de artefatos de borracha não especificados anteriormente;1.826086957
Atividades de contabilidade;1.2
Atividades de associações de defesa de direitos sociais;1.666666667
Condomínios prediais;1
Corretagem no aluguel de imóveis;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Comércio por atacado de caminhões novos e usados;1
Incorporação de empreendimentos imobiliários;1
Comércio varejista de outros produtos não especificados anteriormente;1
Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios;1
Atividades de enfermagem;1
Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico;1
Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico;1.428571429
Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios;1.777777778
Regulação das atividades econômicas;1.125
Fabricação de outros produtos de minerais não-metálicos não especificados anteriormente;1
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;1
Construção de edifícios;1
Serviços de pintura de edifícios em geral;1
